"firmhash","firm","url","ranking","industry","sector","reputation_score","include","ranklabel"
82745242,"Tiffany","https://www.investor.tiffany.com",604,"Specialty Retailers: Other","Retailing","",True,"501-1000"
28209019,"Vertiv Holdings","https://www.vertiv.com",603,"Electronics, Electrical Equip.","Industrials","",True,"501-1000"
97256173,"Noble Energy","https://www.nblenergy.com",602,"Mining, Crude-Oil Production","Energy","",True,"501-1000"
15981844,"Juniper Networks","https://www.juniper.net",601,"Network and Other Communications Equipment","Technology","6.14",True,"501-1000"
52975629,"Tutor Perini","https://www.tutorperini.com",600,"Engineering, Construction","Engineering & Construction","",False,"501-1000"
32426695,"Conduent","https://www.conduent.com",599,"Diversified Outsourcing Services","Business Services","",True,"501-1000"
25859622,"Warner Music Group","https://www.wmg.com",598,"Entertainment","Media","",True,"501-1000"
84854180,"Intuitive Surgical","https://www.intuitive.com",597,"Health Care Equipment and Supplies","Health Care","",True,"501-1000"
53367815,"Zebra Technologies","https://www.zebra.com",596,"Electronics, Electrical Equip.","Industrials","",True,"501-1000"
76492900,"Silgan Holdings","https://www.silganholdings.com",595,"Packaging, Containers","Materials","",False,"501-1000"
32664700,"Ryerson Holding","https://www.ryerson.com",594,"Metals","Materials","",False,"501-1000"
85239647,"Mattel","https://www.mattel.com",593,"Toys, Sporting Goods","Household Products","",True,"501-1000"
77298077,"Globe Life","https://www.globelifeinsurance.com",592,"Insurance: Life, Health (stock)","","",False,"501-1000"
14100607,"KB Home","https://www.kbhome.com",591,"Homebuilders","Engineering & Construction","",False,"501-1000"
73736013,"Brunswick","https://www.brunswick.com",590,"Transportation Equipment","Transportation","",True,"501-1000"
8125639,"Genesis Healthcare","https://www.genesishcc.com",589,"Health Care: Medical Facilities","Health Care","",True,"501-1000"
81966535,"KLA","https://www.kla.com",588,"Semiconductors and Other Electronic Components","Technology","",True,"501-1000"
52456632,"CF Industries Holdings","https://www.cfindustries.com",587,"Chemicals","Chemicals","",False,"501-1000"
31318609,"Hubbell","https://www.hubbell.com",586,"Electronics, Electrical Equip.","Industrials","",True,"501-1000"
16182506,"Concho Resources","https://www.conocophillips.com/concho/",585,"Mining, Crude-Oil Production","Energy","",True,"501-1000"
5755989,"Greif","https://www.greif.com",584,"Packaging, Containers","Materials","",False,"501-1000"
34899581,"Encompass Health","https://www.encompasshealth.com",583,"Health Care: Medical Facilities","Health Care","",True,"501-1000"
67868876,"Peabody Energy","https://www.peabodyenergy.com",582,"Mining, Crude-Oil Production","Energy","",True,"501-1000"
62332206,"Continental Resources","https://www.clr.com",581,"Mining, Crude-Oil Production","Energy","",True,"501-1000"
9184084,"SS&C Technologies Holdings","https://www.ssctech.com",580,"Computer Software","Technology","",True,"501-1000"
31786362,"Boise Cascade","https://www.bc.com",579,"Wholesalers: Diversified","Wholesalers","5.74",False,"501-1000"
4844558,"FMC","https://www.fmc.com",578,"Chemicals","Chemicals","",False,"501-1000"
19717673,"Syneos Health","https://www.syneoshealth.com",577,"Health Care: Pharmacy and Other Services","Health Care","",True,"501-1000"
91951917,"Terex","https://www.terex.com",576,"Construction and Farm Machinery","Industrials","",True,"501-1000"
93795240,"Square","https://www.squareup.com",575,"IT Services","Business Services","",True,"501-1000"
39758378,"Hasbro","https://www.hasbro.com",574,"Toys, Sporting Goods","Household Products","",True,"501-1000"
43631066,"NortonLifeLock","https://www.nortonlifelock.com",573,"Computer Software","Technology","",True,"501-1000"
63816202,"Martin Marietta Materials","https://www.martinmarietta.com",572,"Building Materials, Glass","Materials","",False,"501-1000"
40806588,"Schneider National","https://www.schneider.com",571,"Transportation and Logistics","Transportation","",True,"501-1000"
88831324,"OneMain Holdings","https://www.omf.com",570,"Diversified Financials","","",False,"501-1000"
36074314,"Leggett & Platt","https://www.leggett.com",569,"Home Equipment, Furnishings","Household Products","6.01",True,"501-1000"
60837810,"IAC/InterActiveCorp","https://www.iac.com",568,"Internet Services and Retailing","Technology","",True,"501-1000"
86079284,"Taylor Morrison Home","https://www.taylormorrison.com",567,"Homebuilders","Engineering & Construction","6.13",False,"501-1000"
54660114,"Watsco","https://www.watsco.com",566,"Wholesalers: Diversified","Wholesalers","",False,"501-1000"
21823939,"A-Mark Precious Metals","https://www.amark.com",565,"Miscellaneous","Materials","",False,"501-1000"
67430004,"Sealed Air","https://www.sealedair.com",564,"Packaging, Containers","Materials","",False,"501-1000"
27023553,"Carlisle","https://www.carlisle.com",563,"Building Materials, Glass","Materials","",False,"501-1000"
61903010,"Coca-Cola Consolidated","https://www.cokeconsolidated.com",562,"Beverages","Food, Beverages & Tobacco","6.50",False,"501-1000"
27954751,"Moody’s","https://www.moodys.com",561,"Financial Data Services","Business Services","",True,"501-1000"
